iter	Logloss
0	0.6805044731
1	0.6688921179
2	0.657326914
3	0.6474326223
4	0.6363200892
5	0.6269591335
6	0.6172870234
7	0.6085611174
8	0.6001517277
9	0.5917231325
10	0.583296856
11	0.5755003383
12	0.5684860243
13	0.5617986564
14	0.5552494536
15	0.5491823085
16	0.5428303024
17	0.5367758486
18	0.5312585468
19	0.5255948506
20	0.5207881318
21	0.5162631492
22	0.5116383344
23	0.5074862829
24	0.5033689532
25	0.4996009605
26	0.4956025039
27	0.4921014204
28	0.4886832244
29	0.4853411636
30	0.4819096986
31	0.4785518051
32	0.4758198846
33	0.4733800612
34	0.4704478556
35	0.4680844693
36	0.4655229261
37	0.4628467935
38	0.4608148939
39	0.4586190487
40	0.4567923355
41	0.4543628846
42	0.4522986821
43	0.4503391395
44	0.4484262215
45	0.4469889203
46	0.4452693494
47	0.4433984142
48	0.4417457064
49	0.4403408787
50	0.4390377545
51	0.4376313244
52	0.4362713795
53	0.4348704831
54	0.4337854335
55	0.4327352506
56	0.4316253956
57	0.430270089
58	0.4291976043
59	0.4279668834
60	0.4269283398
61	0.4257443361
62	0.4249623952
63	0.4239571927
64	0.4228786727
65	0.4218797988
66	0.4211037538
67	0.4203609864
68	0.4198081733
69	0.4189885882
70	0.4179877491
71	0.4170123928
72	0.4164574863
73	0.4156609107
74	0.4148302742
75	0.414031665
76	0.413332384
77	0.4124121148
78	0.4117916891
79	0.4112021086
80	0.4106669432
81	0.4101627181
82	0.4098383106
83	0.4092159989
84	0.4088125502
85	0.4082503255
86	0.4075347425
87	0.407316726
88	0.4069391311
89	0.4063649702
90	0.4057532725
91	0.4051967208
92	0.404739911
93	0.4041548896
94	0.4039645247
95	0.4033159231
96	0.4028566765
97	0.4021843656
98	0.4017117719
99	0.4012473375
100	0.4006885896
101	0.4002114972
102	0.3996831529
103	0.399155719
104	0.3985072795
105	0.3982408417
106	0.397729382
107	0.3972456485
108	0.3966656803
109	0.3962841469
110	0.3959203129
111	0.3953448754
112	0.3948736183
113	0.3945427163
114	0.3941153967
115	0.3936055481
116	0.39330436
117	0.3928851526
118	0.392410152
119	0.39198089
120	0.3917116707
121	0.3915502171
122	0.3912469011
123	0.3908319798
124	0.3905501461
125	0.3900919966
126	0.3896847957
127	0.389294308
128	0.3888969579
129	0.3884973528
130	0.3882051226
131	0.3879051271
132	0.3875858892
133	0.3873124714
134	0.3868304784
135	0.386476398
136	0.3862235612
137	0.385915008
138	0.3854661325
139	0.385284023
140	0.3848568002
141	0.3847151196
142	0.3842949753
143	0.3837868614
144	0.3833163639
145	0.3829719899
146	0.3826484184
147	0.3822915792
148	0.381956814
149	0.3815656448
150	0.3814026393
151	0.3811270728
152	0.3808341906
153	0.380584992
154	0.3802540609
155	0.3799369955
156	0.3796336397
157	0.3790662119
158	0.3787186585
159	0.3784130681
160	0.3781111381
161	0.377742316
162	0.3774765859
163	0.3774197256
164	0.3771984465
165	0.3767768309
166	0.3764581154
167	0.3762021146
168	0.3759214878
169	0.3757006167
170	0.3753256213
171	0.3751523423
172	0.3747473844
173	0.3747347385
174	0.374382591
175	0.3742003254
176	0.3738588067
177	0.37355337
178	0.3733602687
179	0.373098367
180	0.3727441571
181	0.3725113847
182	0.372230528
183	0.372079807
184	0.3718491146
185	0.3715739001
186	0.3712381239
