iter	Passed	Remaining
0	3	1195
1	6	1031
2	10	1065
3	12	897
4	16	957
5	17	867
6	21	917
7	24	911
8	28	937
9	32	955
10	37	975
11	41	991
12	45	1003
13	49	1010
14	52	999
15	56	1003
16	60	1005
17	64	1009
18	68	1012
19	72	1011
20	76	1014
21	80	1017
22	84	1016
23	86	997
24	90	997
25	94	998
26	99	1003
27	103	1002
28	106	999
29	110	995
30	114	995
31	118	992
32	121	981
33	122	960
34	126	960
35	128	945
36	132	945
37	136	943
38	139	930
39	143	930
40	146	923
41	150	922
42	154	921
43	158	921
44	162	921
45	163	904
46	167	902
47	171	900
48	175	898
49	179	895
50	182	892
51	186	889
52	190	887
53	194	884
54	195	872
55	199	870
56	203	869
57	208	870
58	213	870
59	217	870
60	221	868
61	225	867
62	228	861
63	233	860
64	237	858
65	241	856
66	246	855
67	250	855
68	253	847
69	257	846
70	262	846
71	267	847
72	272	847
73	277	848
74	282	847
75	287	847
76	292	846
77	296	843
78	301	842
79	305	840
80	310	839
81	314	836
82	317	829
83	321	827
84	325	824
85	329	820
86	334	817
87	335	808
88	337	800
89	342	798
90	345	794
91	350	791
92	354	788
93	359	786
94	361	779
95	365	776
96	369	773
97	373	770
98	377	767
99	382	764
100	386	761
101	390	758
102	394	754
103	398	751
104	402	748
105	407	745
106	411	742
107	416	739
108	420	736
109	424	733
110	428	730
111	433	727
112	437	723
113	441	720
114	445	717
115	449	713
116	454	710
117	458	706
118	462	703
119	466	699
120	470	696
121	474	692
122	478	689
123	482	685
124	486	681
125	490	677
126	494	673
127	497	669
128	502	666
129	507	663
130	511	659
131	515	656
132	520	653
133	524	649
134	528	646
135	532	642
136	536	638
137	540	635
138	544	631
139	548	627
140	553	623
141	557	619
142	560	615
143	564	611
144	569	608
145	573	604
146	577	601
147	581	597
148	585	593
149	589	589
150	593	585
151	597	581
152	601	578
153	606	574
154	610	571
155	614	567
156	618	563
157	622	559
158	626	555
159	630	551
160	634	547
161	638	544
162	642	540
163	645	535
164	649	531
165	653	527
166	657	523
167	660	519
168	665	515
169	668	511
170	672	507
171	676	503
172	680	499
173	682	494
174	686	490
175	690	486
176	694	482
177	698	478
178	702	475
179	706	471
180	710	467
181	715	463
182	719	459
183	723	455
184	727	452
185	731	448
186	735	444
